Title,Creator,AgeRecommendation,Active,Favorites,Visits,VoiceChat,Camera,Created,Updated,ServerSize,Genre,Likes,Dislikes,GameLink,DateFetched
[🕷️HALLOWEEN🕸️] A Universal Time 3.9 🎃,Universe Time Studio,Ages 13+,16105,1313000,797.9M+,Supported,Not Supported,6/4/2020,11/5/2024,1,RPG,796K+,134K+,https://www.roblox.com/games/5130598377/HALLOWEEN-A-Universal-Time-3-9?gameSearchSessionInfo=e8813117-6344-407c-8862-6b3ad5933e81&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=5130598377&amp;position=0&amp;universeId=1782832995,11/6/2024 21:57
Survive in the Abandoned Caps,@lauradevilhenabento2,All Ages,36,50366,2.1M+,Supported,Not Supported,7/18/2024,11/1/2024,20,Survival,1903,720,https://www.roblox.com/games/18547779478/Survive-in-the-Abandoned-Caps?gameSearchSessionInfo=874fe266-1440-48a2-8aed-e1b02c3aa160&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=18547779478&amp;position=0&amp;universeId=6284424140,11/6/2024 21:57
Studio Lite,@ScottSpiritWalker,All Ages,277,53147,15.8M+,Not Supported,Not Supported,9/20/2022,11/6/2024,1,Simulation,16K+,3910,https://www.roblox.com/games/10959918411/Studio-Lite?gameSearchSessionInfo=f646e1f3-3ec3-4985-93d8-845ae6f6d9ce&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=10959918411&amp;position=0&amp;universeId=3951147015,11/6/2024 21:57
[🎃 EVENT] Driving Empire 🏎️ Car Racing,Driving Empire by Voldex,All Ages,11672,13752552,1.6B+,Supported,Not Supported,6/23/2019,11/5/2024,25,Simulation,1M+,114K+,https://www.roblox.com/games/3351674303/EVENT-Driving-Empire-Car-Racing?gameSearchSessionInfo=1707721b-755a-48bf-9da8-fdc8e2e3c9df&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=3351674303&amp;position=0&amp;universeId=1202096104,11/6/2024 21:57
🎉 🏆 SUPER GUYS [🎃UPDATE!],SGD GAMES,All Ages,158,93933,9.6M+,Not Supported,Not Supported,4/6/2024,11/3/2024,12,Party &amp; Casual,1339,771,https://www.roblox.com/games/17033334805/SUPER-GUYS-UPDATE?gameSearchSessionInfo=70b635d0-4dca-43ef-95f9-a2df2b1e17f9&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=17033334805&amp;position=0&amp;universeId=5841133479,11/6/2024 21:57
[🎃] Dungeon Quest! ⚔️ RPG Adventure,Dungeon Quest by Voldex,Ages 9+,5448,4246279,2.1B+,Not Supported,Not Supported,9/26/2018,11/2/2024,40,RPG,1M+,96K+,https://www.roblox.com/games/2414851778/Dungeon-Quest-RPG-Adventure?gameSearchSessionInfo=4e9a38a4-68cc-418b-96d9-bec13149ae32&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=2414851778&amp;position=0&amp;universeId=848145103,11/6/2024 21:57
weird strict dad [BOOK 2],BlueLoop Studios,All Ages,540,465088,341.2M+,Supported,Not Supported,9/16/2023,9/21/2024,20,Adventure,115K+,21K+,https://www.roblox.com/games/14787369036/weird-strict-dad-BOOK-2?gameSearchSessionInfo=28e54330-6a91-4891-9962-5750acf81368&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=14787369036&amp;position=0&amp;universeId=5096440156,11/6/2024 21:57
[🎃] MeepCity,@alexnewtron,All Ages,2631,14788926,16.1B+,Supported,Not Supported,2/23/2016,11/1/2024,50,Roleplay &amp; Avatar Sim,2M+,483K+,https://www.roblox.com/games/370731277/MeepCity?gameSearchSessionInfo=ac7ec577-1dba-41f9-a46a-65d37c072a9e&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=370731277&amp;position=0&amp;universeId=140239261,11/6/2024 21:57
2 Player Monkey Obby,Certified Monkey Business,All Ages,312,123433,38.8M+,Not Supported,Supported,5/18/2024,7/17/2024,22,Obby &amp; Platformer,27K+,5368,https://www.roblox.com/games/17521736603/2-Player-Monkey-Obby?gameSearchSessionInfo=f3057ecf-9143-47e1-80e1-cade096390d1&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=17521736603&amp;position=0&amp;universeId=5997482110,11/6/2024 21:57
[🎃] Super League Soccer,Play! Football,All Ages,9446,457749,600.5M+,Supported,Not Supported,1/17/2023,11/6/2024,14,Sports &amp; Racing,219K+,46K+,https://www.roblox.com/games/12177325772/Super-League-Soccer?gameSearchSessionInfo=ad24a36b-779a-4485-8aa1-5b7526ea31f4&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=12177325772&amp;position=0&amp;universeId=4293374620,11/6/2024 21:57
