Title,Creator,AgeRecommendation,Active,Favorites,Visits,VoiceChat,Camera,Created,Updated,ServerSize,Genre,Likes,Dislikes,GameLink,DateFetched
Hot Pot Restaurant,@johnpcps,All Ages,326,105828,12.9M+,Supported,Supported,5/23/2023,6/12/2024,30,Roleplay &amp; Avatar Sim,12K+,1591,https://www.roblox.com/games/13521186297/Hot-Pot-Restaurant?gameSearchSessionInfo=47bb77f9-75fd-42ab-883b-87ea54b77a41&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=13521186297&amp;position=0&amp;universeId=4701326804,11/5/2024 23:07
Hungry Pig ,@SoundTrackZack,Ages 9+,1444,54909,59.2M+,Supported,Supported,6/24/2024,11/1/2024,12,Survival,16K+,3416,https://www.roblox.com/games/18183902003/Hungry-Pig?gameSearchSessionInfo=f56cd244-3c05-4386-8424-686217258080&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=18183902003&amp;position=0&amp;universeId=6164853651,11/5/2024 23:07
Ice Fishing Simulator 🐟,WildGuest Games,All Ages,1244,58477,14.9M+,Supported,Not Supported,8/7/2023,11/5/2024,12,Simulation,36K+,4212,https://www.roblox.com/games/14350413280/Ice-Fishing-Simulator?gameSearchSessionInfo=e7d6d7c1-8085-4ca8-ae11-026908076111&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=14350413280&amp;position=0&amp;universeId=4960950398,11/5/2024 23:07
Impossible Glass Bridge (Squid Game),@maxTsaints,All Ages,891,21958,54.0M+,Supported,Supported,12/15/2021,11/5/2024,20,Obby &amp; Platformer,9113,2931,https://www.roblox.com/games/8253019142/Impossible-Glass-Bridge-Squid-Game?gameSearchSessionInfo=4125c3b0-3453-4109-b1f0-8f688fbe26f4&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=8253019142&amp;position=0&amp;universeId=3166161064,11/5/2024 23:07
Impossible Troll  Bridge (Squid Game),Glass Bridge Group :),All Ages,1402,338076,3.0M+,Not Supported,Not Supported,9/2/2024,11/4/2024,45,Obby &amp; Platformer,1485,253,https://www.roblox.com/games/87583185172012/Impossible-Troll-Bridge-Squid-Game?gameSearchSessionInfo=76d0c09e-366f-4aba-bdaa-da52dec42f82&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=87583185172012&amp;position=0&amp;universeId=6501337383,11/5/2024 23:07
Impostor,Vantablack Studios,All Ages,1182,357913,140.9M+,Not Supported,Not Supported,9/24/2020,11/5/2024,12,Survival,51K+,15K+,https://www.roblox.com/games/5725946508/Impostor?gameSearchSessionInfo=5fdf0621-3b38-4f23-9214-269f2440674a&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=5725946508&amp;position=0&amp;universeId=2029776337,11/5/2024 23:07
Industrialist [HEAVY INDUSTRY],@mamytema,All Ages,1295,89170,8.0M+,Supported,Not Supported,3/26/2022,10/31/2024,20,Simulation,26K+,1756,https://www.roblox.com/games/9192423027/Industrialist-HEAVY-INDUSTRY?gameSearchSessionInfo=448d69b2-3366-4a20-84ff-9895eebf0d7c&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=9192423027&amp;position=0&amp;universeId=3448264866,11/5/2024 23:07
Insane Elevator Testing,Digital Destruction,Ages 9+,1277,57286,154.7M+,Supported,Not Supported,3/17/2022,10/5/2024,35,Party &amp; Casual,13K+,7830,https://www.roblox.com/games/9120716669/Insane-Elevator-Testing?gameSearchSessionInfo=5f18f039-8828-455f-bcc1-525d4b39aa55&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=9120716669&amp;position=0&amp;universeId=3426175130,11/5/2024 23:07
Insomnia (Horror),ZeRoCIient,All Ages,282,315070,16.9M+,Supported,Not Supported,5/6/2024,11/5/2024,20,Adventure,26K+,6549,https://www.roblox.com/games/17405588101/Insomnia-Horror?gameSearchSessionInfo=34261d3f-b9ca-4e42-8425-f1718d622981&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=17405588101&amp;position=0&amp;universeId=5956634861,11/5/2024 23:08
Just a Rope Bridge,@tallywally,Ages 9+,731,200924,188.5M+,Not Supported,Not Supported,3/24/2021,6/30/2024,10,Action,35K+,25K+,https://www.roblox.com/games/6560282512/Just-a-Rope-Bridge?gameSearchSessionInfo=5d560811-3d25-45e8-a1a2-ecb1471cbd52&amp;isAd=false&amp;nativeAdData=&amp;numberOfLoadedTiles=40&amp;page=searchPage&amp;placeId=6560282512&amp;position=0&amp;universeId=2464573238,11/5/2024 23:08
